DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
CPANSC	CT Pancreas with contrast	429873004	Computed tomography of pancreas with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z31.1	Pancreas											
CPANT	CT Pancreas triple phase	1095291000000109	Computed tomography triple phase study of pancreas (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z31.1	Pancreas											
CPATT	CT Patella tracking	931371000000100	Computed tomography for patella tracking (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z84.6	Knee joint											
CPEGC	CT Prospective ECG gated coronary Angio	765113006	Prospectively electrocardiogram gated computed tomography angiography of coronary artery (procedure)	U10.2	Cardiac computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z33.4	Coronary artery											
CPELP	CT Pelvis perfusion study	448344005	Computed tomography perfusion study of pelvis (procedure)	U09.1	Computed tomography of pelvis							Y98.1	Radiology of one body area (or < 20 minutes)																	
CPELV	CT Pelvis	169071000	Computed tomography of pelvis (procedure)	U09.1	Computed tomography of pelvis							Y98.1	Radiology of one body area (or < 20 minutes)																	
CPELVB	CT Guided biopsy pelvis	419341002	Computed tomography and biopsy of pelvis (procedure)	T43.2	Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intra-abdominal organ NEC							Y53.3	Approach to organ under computed tomography scan control																	
CPELVC	CT Pelvis with contrast	74710000	Computerized axial tomography of pelvis with contrast (procedure)	U09.1	Computed tomography of pelvis							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CPELVD	CT Guided drainage pelvis	419075009	Computed tomography and drainage of pelvis (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y53.3	Approach to organ under computed tomography scan control													O16.1	Pelvis NEC	
CPELVN	CT Guided aspiration pelvis	439538003	Percutaneous aspiration of pelvis using computed tomography guidance (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y53.3	Approach to organ under computed tomography scan control													O16.1	Pelvis NEC	
CPERI	CT Peritoneogram	431946006	Computed tomography of peritoneal cavity with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z53.4	Peritoneal cavity											
CPITF	CT Pituitary	241519005	Computed tomography of pituitary fossa (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z14.1	Pituitary gland											
CPITFC	CT Pituitary with contrast	430437000	Computed tomography of pituitary fossa with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z14.1	Pituitary gland											
CPMTM	CT Post mortem	699584002	Post mortem computed tomography (procedure)	#NC																										
CPNAS	CT Post nasal space	241527001	Computed tomography of nasopharynx (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z22.6	Nasopharynx											
CPNASC	CT Post nasal space with contrast	431247005	Computed tomography of nasopharynx with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z22.6	Nasopharynx											
CPOSF	CT Posterior fossa	241518002	Computed tomography of posterior fossa (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
CPOSFC	CT Posterior fossa with contrast	20836009	Computerized axial tomography of posterior fossa with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CPPTHC	CT Pleural phase thorax with contrast	1111431000000104	Pleural phase computed tomography of thorax with contrast (procedure)	U07.1	Computed tomography of chest							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															N
CPTAP	CT Portal venogram thorax Abdo pelvis	1110551000000103	Computed tomography portal venography of thorax, abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.3	Radiology of three body areas (or 20-40 minutes)					Z92.4	Chest NEC	Z92.6	Abdomen NEC							O16.1	Pelvis NEC	N
CPTRS	CT Petrous bones	241522007	Computed tomography of petrous bones (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z63.8	Specified bone of cranium NEC											
CPULV	CT Venography pulmonary	439475006	Computed tomography venography of pulmonary vein (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z40.2	Pulmonary vein											
CPVAP	CT Portal venography abdomen and pelvis	912371000000102	Computed tomography portal venography of abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CPVMY	CT Pelvimetry	241600009	Computed tomography pelvimetry (procedure)	U09.1	Computed tomography of pelvis							Y98.1	Radiology of one body area (or < 20 minutes)																	
CPVTA	CT Portal venogram thorax abdomen	1110561000000100	Computed tomography portal venography of thorax and abdomen (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.4	Chest NEC	Z92.6	Abdomen NEC									N
CREGC	CT Retrospective ECG gated Cor angiogram	764970007	Retrospectively electrocardiogram gated computed tomography angiography of coronary artery (procedure)	U10.2	Cardiac computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z33.4	Coronary artery											
CRFLU	CT Guided RF ablation lung	444811001	Radiofrequency ablation of lesion of lung using computed tomography guidance (procedure)	E59.5	Percutaneous radiofrequency ablation of lesion of lung							Y53.3	Approach to organ under computed tomography scan control																	
CRRFBA	CT Guided RF ablation kidney Both	429861004	Radiofrequency ablation of lesion of kidney using computed tomography guidance (procedure)	M13.7	Percutaneous radiofrequency ablation of lesion of kidney							Y53.3	Approach to organ under computed tomography scan control																	
CRRFLA	CT Guided RF ablation kidney Lt	429861004	Radiofrequency ablation of lesion of kidney using computed tomography guidance (procedure)	M13.7	Percutaneous radiofrequency ablation of lesion of kidney							Y53.3	Approach to organ under computed tomography scan control																	
CRRFRA	CT Guided RF ablation kidney Rt	429861004	Radiofrequency ablation of lesion of kidney using computed tomography guidance (procedure)	M13.7	Percutaneous radiofrequency ablation of lesion of kidney							Y53.3	Approach to organ under computed tomography scan control																	
CRTABR	CT Radiotherapy planning scan axilla B	715246006	Computed tomography of axilla for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O16.3	Axilla NEC	
CRTACR	CT Radiotherapy planning abdomen Cont	942221000000104	Computerised tomography of abdomen for radiotherapy planning with contrast (procedure)	U08.1	Computed tomography of abdomen NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CRTADR	CT Radiotherapy planning scan abdomen	715249004	Computed tomography of abdomen for radiotherapy planning (procedure)	U08.1	Computed tomography of abdomen NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
CRTALR	CT Radiotherapy planning scan axilla Lt	715246006	Computed tomography of axilla for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O16.3	Axilla NEC	
CRTARR	CT Radiotherapy planning scan axilla Rt	715246006	Computed tomography of axilla for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O16.3	Axilla NEC	
CRTBDR	CT Radiotherapy planning scan bladder	429923003	Computed tomography of urinary bladder for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.1	Bladder NEC											
CRTBER	CT Radiotherapy planning bladder Cont	715461005	Computed tomography of urinary bladder with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z42.1	Bladder NEC											
CRTCBR	CT Radiotherapy planning axilla Cont B	715250004	Computed tomography of axilla with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)													O16.3	Axilla NEC	
CRTCHR	CT Radiotherapy planning scan thorax	429851006	Computed tomography of thorax for radiotherapy planning (procedure)	U07.1	Computed tomography of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
CRTCIR	CT Radiotherapy planning thorax contrast	715494008	Computed tomography of thorax with contrast for radiotherapy planning (procedure)	U07.1	Computed tomography of chest							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CRTCLR	CT Radiotherapy planning axilla Cont Lt	715250004	Computed tomography of axilla with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)													O16.3	Axilla NEC	
CRTCNR	CT Radiotherapy Plan craniospinal axis	941701000000108	Computerised tomography of craniospinal axis for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.5	Radiology of > 4 body areas (or > 40 minutes)					Z92.1	Head NEC	Z66.3	Cervical vertebra	Z66.4	Thoracic vertebra	Z66.5	Lumbar vertebra	Z66.8	Specified vertebra NEC			
CRTCRR	CT Radiotherapy planning axilla Cont Rt	715250004	Computed tomography of axilla with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)													O16.3	Axilla NEC	
CRTCSR	CT Radiotherapy Plan cervical spine	715689004	Computed tomography of cervical spine for radiotherapy planning (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.3	Cervical vertebra											
CRTEBR	CT Radiotherapy planning lower leg B	715688007	Computed tomography of lower leg for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.4	Lower leg NEC											
CRTELR	CT Radiotherapy planning lower leg Lt	715688007	Computed tomography of lower leg for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.4	Lower leg NEC											
CRTERR	CT Radiotherapy planning lower leg Rt	715688007	Computed tomography of lower leg for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.4	Lower leg NEC											
CRTFBR	CT Radiotherapy planning scan thigh B	715248007	Computed tomography of thigh for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.3	Upper leg NEC											
CRTFLR	CT Radiotherapy planning scan thigh Lt	715248007	Computed tomography of thigh for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.3	Upper leg NEC											
CRTFRR	CT Radiotherapy planning scan thigh Rt	715248007	Computed tomography of thigh for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.3	Upper leg NEC											
CRTGBR	CT Radiotherapy planning lower limb B	715288002	Computed tomography of lower limb for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.9	Leg region NEC											
CRTGLR	CT Radiotherapy planning lower limb Lt	715288002	Computed tomography of lower limb for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CRTGRR	CT Radiotherapy planning lower limb Rt	715288002	Computed tomography of lower limb for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CRTHAR	CT Radiotherapy planning head and neck	715245005	Computed tomography of head and neck for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.1	Head NEC	Z92.3	Neck NEC									
CRTHCR	CT Radiotherapy Plan head and neck Cont	715289005	Computed tomography of head and neck with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z92.1	Head NEC	Z92.3	Neck NEC									
CRTLSR	CT Radiotherapy Plan lumbosacral spine	715290001	Computed tomography of lumbosacral spine for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z66.5	Lumbar vertebra	Z66.8	Specified vertebra NEC									
CRTMAR	CT Radiotherapy planning scan breast	429866009	Computed tomography of breast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z15.9	Breast NEC											
CRTMBR	CT Radiotherapy planning breast Cont B	715292009	Computed tomography of breast with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z15.9	Breast NEC											
CRTMLR	CT Radiotherapy planning breast Cont Lt	715292009	Computed tomography of breast with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z15.9	Breast NEC											
CRTMRR	CT Radiotherapy planning breast Cont Rt	715292009	Computed tomography of breast with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z15.9	Breast NEC											
CRTNER	CT Radiotherapy planning scan neck	429877003	Computed tomography of neck for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.3	Neck NEC											
CRTNFR	CT Radiotherapy planning scan neck Cont	715294005	Computed tomography of neck with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z92.3	Neck NEC											
CRTOBR	CT Radiotherapy planning scan orbit Both	430440000	Computed tomography of orbit for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z16.1	Orbit											
CRTOER	CT Radiotherapy planning scan oesophagus	715312007	Computed tomography of esophagus for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z27.1	Oesophagus											
CRTOFR	CT Radiotherapy planning oesophagus Cont	715691007	Computed tomography of esophagus with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z27.1	Oesophagus											
CRTPER	CT Radiotherapy planning scan pelvis	430194000	Computed tomography of pelvis for radiotherapy planning (procedure)	U09.1	Computed tomography of pelvis							Y98.1	Radiology of one body area (or < 20 minutes)																	
CRTPFR	CT Radiotherapy planning pelvis Cont	715690008	Computed tomography of pelvis with contrast for radiotherapy planning (procedure)	U09.1	Computed tomography of pelvis							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CRTPOR	CT Radiotherapy planning scan prostate	429856001	Computed tomography of prostate for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.2	Prostate											
CRTPPR	CT Radiotherapy planning prostate Cont	715687002	Computed tomography of prostate with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z42.2	Prostate											
CRTSFR	CT Radiotherapy planning scan head Cont	715692000	Computed tomography of head with contrast for radiotherapy planning (procedure)	U05.1	Computed tomography of head							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CRTSKR	CT Radiotherapy planning scan head	429867000	Computed tomography of head for radiotherapy planning (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)																	
CRTSMR	CT Radiotherapy planning scan SMART	433739004	Computed tomography for simultaneous modulated accelerated radiation therapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
CRTSPR	CT Radiotherapy planning scan spine	430438005	Computed tomography of spine for radiotherapy planning (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)																	
CRTTSR	CT Radiotherapy Plan thoracic spine	715247002	Computed tomography of thoracic spine for radiotherapy planning (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.4	Thoracic vertebra											
CRTUA	CT Pc cryotherapy tumour ablation	609173003	Percutaneous cryoablation of neoplasm using computed tomography guidance (procedure)	#HLT																										
CRTXCR	CT Radiotherapy planning scan contrast	715291002	Computed tomography with contrast for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CRTXPR	CT Radiotherapy planning scan	430447002	Computed tomography for radiotherapy planning (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
CSABD	CT Sinogram abdomen	811261000000101	Computed tomography sinogram of abdomen (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.6	Abdomen NEC											
CSACBJ	CT Guid injection sacroiliac joint Both	430433001	Injection of sacroiliac joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z84.1	Sacroiliac joint											
CSACLJ	CT Guid injection sacroiliac joint Left	430433001	Injection of sacroiliac joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z84.1	Sacroiliac joint											
CSACM	CT Spine sacral	241581003	Computed tomography of sacral spine (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.8	Specified vertebra NEC											
CSACMC	CT Spine sacral with contrast	430452007	Computed tomography of sacral spine with contrast (procedure)	U05.4	Computed tomography of spine							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z66.8	Specified vertebra NEC											
CSACRJ	CT Guid injection sacroiliac joint Right	430433001	Injection of sacroiliac joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z84.1	Sacroiliac joint											
CSAIB	CT Sacroiliac joint Both	418618007	Computed tomography of sacroiliac joints (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z84.1	Sacroiliac joint											
CSAIBC	CT Arthrogram sacroiliac joint Both	872911000000109	Computed tomography arthrography of sacroiliac joint with contrast (procedure)	W90.2	Arthrography	Y53.9	Unspecified approach to organ under image control	Z84.1	Sacroiliac joint	U13.6	Computed tomography of bone	Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z84.1	Sacroiliac joint											
CSAILC	CT Arthrogram sacroiliac joint Left	872911000000109	Computed tomography arthrography of sacroiliac joint with contrast (procedure)	W90.2	Arthrography	Y53.9	Unspecified approach to organ under image control	Z84.1	Sacroiliac joint	U13.6	Computed tomography of bone	Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z84.1	Sacroiliac joint											
CSAIRC	CT Arthrogram sacroiliac joint Right	872911000000109	Computed tomography arthrography of sacroiliac joint with contrast (procedure)	W90.2	Arthrography	Y53.9	Unspecified approach to organ under image control	Z84.1	Sacroiliac joint	U13.6	Computed tomography of bone	Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z84.1	Sacroiliac joint											
CSAPA	CT Parotid	241530008	Computed tomography parotid gland (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z26.1	Parotid gland											
CSAPAC	CT Parotids with contrast	429863001	Computed tomography of parotid gland with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z26.1	Parotid gland											
CSASM	CT Submandibular Areas	438306003	Computed tomography of submandibular area (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.3	Neck NEC											
CSASMC	CT Submandibular areas with contrast	438590003	Computed tomography of submandibular area with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z92.1	Head NEC											
CSCAB	CT Scaphoid Both	15341000087108	Computed tomography of bilateral scaphoids (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z72.2	Scaphoid bone	Z94.1	Bilateral operation									
CSCAL	CT Scaphoid Left	15311000087107	Computed tomography of left scaphoid (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z72.2	Scaphoid bone	Z94.3	Left sided operation									
CSCAN	CT Scanogram for leg length	241599006	Digital slit-beam radiograph of leg length (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CSCAR	CT Scaphoid Right	15301000087105	Computed tomography of right scaphoid (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z72.2	Scaphoid bone	Z94.2	Right sided operation									
CSCAS	CT Scanogram spine	714150002	Computed tomography scanogram of spine (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)																	
CSCJB	CT Sternoclavicular joint Both	419976007	Computed tomography of sternoclavicular joint (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.1	Sternoclavicular joint											
CSCPB	CT Scapula Both	20331000087100	Computed tomography of bilateral scapulae (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.5	Scapula NEC	Z94.1	Bilateral operation									
CSCPL	CT Scapula Lt	20111000087108	Computed tomography of left scapula (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.5	Scapula NEC	Z94.3	Left sided operation									
CSCPR	CT Scapula Rt	20021000087104	Computed tomography of right scapula (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.5	Scapula NEC	Z94.2	Right sided operation									
CSHOBJ	CT Guided injection shoulder Both	430453002	Injection of shoulder joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z81.4	Shoulder joint											
CSHOLC	CT Shoulder with contrast Left	1501000087104	Computed tomography of left shoulder with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z81.4	Shoulder joint	Z94.3	Left sided operation									
CSHOLJ	CT Guided injection shoulder Left	430453002	Injection of shoulder joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z81.4	Shoulder joint											
CSHORC	CT Shoulder with contrast Right	1521000087105	Computed tomography of right shoulder with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z81.4	Shoulder joint	Z94.2	Right sided operation									
CSHORJ	CT Guided injection shoulder Right	430453002	Injection of shoulder joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z81.4	Shoulder joint											
CSHRB	CT Shoulder Both	303686006	Computed tomography shoulder region structure (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z81.4	Shoulder joint											
CSHRBC	CT Shoulder with contrast Both	429854003	Computed tomography of shoulder with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z81.4	Shoulder joint											
CSHRL	CT Shoulder Lt	1491000087107	Computed tomography of left shoulder (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.4	Shoulder joint	Z94.3	Left sided operation									
CSHRR	CT Shoulder Rt	1511000087102	Computed tomography of right shoulder (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.4	Shoulder joint	Z94.2	Right sided operation									
CSIAW	CT Salivary glands	241529003	Computed tomography of salivary glands (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z26.4	Salivary gland											
CSIAWC	CT Salivary glands with contrast	241532000	Computed tomography sialogram (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z26.4	Salivary gland											
CSIJL	CT Sacroiliac joint Left	418618007	Computed tomography of sacroiliac joints (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z84.1	Sacroiliac joint											
CSIJR	CT Sacroiliac joint Right	418618007	Computed tomography of sacroiliac joints (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z84.1	Sacroiliac joint											
CSINJJ	CT Guided injection	431864000	Injection using computed tomography guidance (procedure)	#HLT																										
CSINO	CT Sinogram	432771002	Computed tomography sinogram (procedure)	U35.5	Computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CSINU	CT Sinuses	241526005	Computed tomography of paranasal sinuses (procedure)	U06.1	Computed tomography of sinuses							Y98.1	Radiology of one body area (or < 20 minutes)																	
CSINUC	CT Sinuses with contrast	431492000	Computed tomography of paranasal sinuses with contrast (procedure)	U06.1	Computed tomography of sinuses							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z23.9	Nasal sinus NEC											
CSKES	CT Skeletal survey	858281000000106	Computed tomography of entire skeleton (procedure)	U01.1	Computed tomography of whole body							Y98.5	Radiology of > 4 body areas (or > 40 minutes)																	
CSKMA	CT Guided skin marking	429855002	Skin marking using computed tomography guidance (procedure)	#HLT																										
CSKNE	CT Head and neck	429858000	Computed tomography of head and neck (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.1	Head NEC	Z92.3	Neck NEC									
CSKPE	CT Brain perfusion study	433111008	Computed tomography of brain perfusion (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)					Z01.9	Tissue of brain NEC											
CSKUH	CT Head	408754009	Computed tomography of entire head (procedure)	U05.1	Computed tomography of head							Y98.1	Radiology of one body area (or < 20 minutes)																	
CSKUHB	CT Guided biopsy brain	432666003	Biopsy of brain using computed tomography guidance (procedure)	A08.9	Unspecified other biopsy of lesion of tissue of brain							Y53.3	Approach to organ under computed tomography scan control																	
CSKUHC	CT Head with contrast	396207002	Computerized axial tomography of brain with radiopaque contrast (procedure)	U05.1	Computed tomography of head							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z01.9	Tissue of brain NEC											
CSLLB	CT Sinogram lower limb Both	811281000000105	Computed tomography sinogram of lower limb (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z90.9	Leg region NEC											
CSLLL	CT Sinogram lower limb Left	811281000000105	Computed tomography sinogram of lower limb (procedure)	U35.5	Computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z90.9	Leg region NEC											
